sun altitude,sat altitude,sat height,measured_ab,irradiance,aoi,az diff
-26.0,28.0,526911.5,6.85355439064817,4.97091e-11,19.4,22.1
-26.0,27.9,526914.7,6.86634923104897,4.91267e-11,19.3,21.200000000000003
-26.0,27.8,526917.9,6.83595804220773,5.05213e-11,19.2,20.5
-26.0,27.7,526921.6,6.87774215147572,4.86139e-11,19.2,19.5
-26.0,27.6,526924.3,6.83636904988341,5.05022e-11,19.1,18.8
-26.0,27.5,526927.4,6.80982416169975,5.17521e-11,19.1,18.1
-26.0,27.4,526929.1,6.79888539989272,5.22761e-11,19.0,17.6
-26.0,27.3,526931.1,6.77188061164225,5.35927e-11,19.0,17.2
-26.0,27.2,526933.0,6.75844203756599,5.42601e-11,18.9,16.7
-26.0,27.2,526934.4,6.77792971304398,5.32949e-11,18.9,16.299999999999997
-26.0,27.1,526936.0,6.80963637946639,5.17611e-11,18.9,15.899999999999999
-26.0,26.9,526939.0,6.76432304004589,5.3967e-11,18.8,15.2
-26.0,26.9,526940.4,6.76298634159833,5.40335e-11,18.8,14.799999999999999
-26.0,26.8,526941.7,6.76869369909369,5.37502e-11,18.7,14.399999999999999
-26.0,26.7,526943.1,6.70694637027889,5.68957e-11,18.7,14.099999999999998
-26.0,26.7,526944.5,6.66894095725076,5.89225e-11,18.7,13.7
-26.0,26.6,526946.0,6.71887576533166,5.6274e-11,18.7,13.299999999999999
-26.0,26.1,526953.6,6.6292253686946,6.11178e-11,18.5,11.299999999999997
-26.0,26.0,526956.2,6.55979374697565,6.51539e-11,18.4,10.599999999999998
-26.0,25.8,526958.6,6.51824697636744,6.76954e-11,18.3,9.899999999999999
-26.0,25.6,526962.3,6.37734588858993,7.70761e-11,18.3,8.899999999999999
-26.0,25.4,526965.1,6.46695062194671,7.09705e-11,18.2,8.099999999999998
-26.0,25.2,526967.4,6.37399725889697,7.73141e-11,18.1,7.5
-26.0,25.1,526969.4,6.41299744444274,7.45863e-11,18.1,7.0
-26.0,24.8,526972.5,6.28725886513384,8.37441e-11,18.0,6.100000000000001
-26.0,24.6,526975.0,6.31666064300678,8.15068e-11,17.9,5.399999999999999
-26.0,24.5,526976.2,6.25866451540107,8.59789e-11,17.9,5.0
-26.0,24.4,526977.2,6.26893044650883,8.51698e-11,17.8,4.800000000000001
-26.0,24.4,526978.1,6.32028893088299,8.12348e-11,17.8,4.5
-26.0,24.2,526979.6,6.28655890853583,8.37981e-11,17.8,4.100000000000001
-26.0,24.1,526980.9,6.20717750914244,9.01544e-11,17.7,3.6999999999999993
-26.0,24.0,526982.0,6.15492152437404,9.45996e-11,17.7,3.3000000000000007
-26.0,23.8,526983.7,6.12322406516096,9.74021e-11,17.6,2.8000000000000007
-26.0,23.7,526984.8,6.11069202032403,9.85329e-11,17.6,2.5
-26.0,23.6,526986.1,6.04273848090788,1.048969e-10,17.6,2.1000000000000014
-26.0,23.1,526990.9,5.70327150014417,1.434001e-10,17.4,0.6000000000000014
-26.0,23.0,526992.3,4.83539147558645,3.189345e-10,17.4,0.1999999999999993
-25.9,22.7,526994.3,3.32160069872112,1.2859315e-09,17.3,0.5
-25.9,22.5,526996.1,4.4622540436486,4.497348e-10,17.2,1.1000000000000014
-25.9,22.4,526997.7,5.38261362155799,1.926693e-10,17.2,1.5
-25.9,21.8,527002.1,6.20817394166334,9.00717e-11,17.0,3.0
-25.9,21.7,527003.1,6.32369773785752,8.09802e-11,16.9,3.3999999999999986
-25.9,21.5,527004.0,6.31101608987395,8.19316e-11,16.9,3.6999999999999993
-25.9,21.4,527004.6,6.37171219926421,7.7477e-11,16.9,4.0
-25.9,21.3,527005.4,6.46990687044185,7.07775e-11,16.8,4.199999999999999
-25.9,21.2,527006.2,6.537016407475,6.65352e-11,16.8,4.5
-25.9,21.1,527006.9,6.49257633948586,6.9315e-11,16.7,4.799999999999997
-25.9,21.0,527007.8,6.48346851060054,6.98989e-11,16.7,5.100000000000001
-25.9,20.9,527008.5,6.51277028422016,6.80377e-11,16.7,5.399999999999999
-25.9,20.7,527009.2,6.55958351902532,6.51665e-11,16.6,5.699999999999996
-25.9,20.6,527009.8,6.72828267367775,5.57885e-11,16.6,5.899999999999999
-25.9,20.6,527010.4,6.70335595094247,5.70841e-11,16.6,6.199999999999996
-25.9,20.5,527011.0,6.64682548008633,6.0135e-11,16.5,6.399999999999999
-25.9,20.3,527011.6,6.70522622185879,5.69859e-11,16.5,6.699999999999996
-25.9,20.1,527013.1,6.81033706161582,5.17277e-11,16.4,7.299999999999997
-20.4,20.1,526888.4,8.38352283054108,1.21464e-11,19.9,88.30000000000001
-20.4,20.2,526889.3,8.2889464056498,1.32519e-11,19.9,88.19999999999999
-20.4,20.3,526891.9,8.43288764735072,1.16065e-11,19.9,88.0
-20.4,20.4,526892.9,8.3195649794127,1.28834e-11,19.9,87.89999999999998
-20.4,20.6,526895.8,8.46251744824749,1.1294e-11,19.8,87.5
-20.4,20.6,526896.8,8.24973374652998,1.37393e-11,19.8,87.39999999999998
-20.4,20.8,526899.5,8.39025989152953,1.20713e-11,19.7,87.09999999999997
-20.4,21.1,526903.2,8.42017712423509,1.17432e-11,19.7,86.80000000000001
-20.3,21.3,526907.0,8.50465507723901,1.08641e-11,19.6,86.30000000000001
-20.3,21.4,526908.1,8.21687582433526,1.41614e-11,19.6,86.19999999999999
-20.3,21.6,526910.5,8.48360456604701,1.10768e-11,19.5,85.90000000000003
-20.3,21.7,526912.6,8.45862418746828,1.13346e-11,19.5,85.60000000000002
-20.3,21.8,526914.8,8.46862610205081,1.12307e-11,19.5,85.30000000000001
-20.3,22.0,526916.9,8.40155165465794,1.19464e-11,19.4,85.0
-20.3,22.1,526919.0,8.372978816053,1.22649e-11,19.4,84.69999999999999
-20.3,22.3,526920.6,8.3081896375136,1.30191e-11,19.4,84.5
-20.3,22.4,526922.3,8.28196125849,1.33374e-11,19.3,84.30000000000001
-20.3,22.5,526924.4,8.41157198077619,1.18366e-11,19.3,84.0
-20.3,22.7,526926.1,8.50011784589812,1.09096e-11,19.3,83.69999999999999
-20.3,22.8,526927.9,8.44524032596739,1.14752e-11,19.2,83.40000000000003
-20.3,22.9,526929.6,8.49153734900076,1.09962e-11,19.2,83.19999999999999
-20.3,23.1,526931.4,8.46566480927382,1.12613e-11,19.2,82.90000000000003
-20.3,23.2,526933.1,8.42942259943513,1.16436e-11,19.1,82.60000000000002
-20.3,23.3,526934.9,8.42716171955474,1.16679e-11,19.1,82.40000000000003
-20.3,24.4,526948.4,8.39887393341819,1.19759e-11,18.8,80.0
-20.3,24.5,526949.1,8.25673680333946,1.36509e-11,18.8,79.90000000000003
-20.3,24.7,526951.1,8.38890045732326,1.20864e-11,18.7,79.5
-20.3,24.8,526951.9,8.24464028941954,1.38039e-11,18.7,79.30000000000001
-20.3,24.9,526953.8,8.3530609672665,1.2492e-11,18.7,79.0
-20.3,25.0,526954.7,8.21778499906854,1.41495e-11,18.7,78.89999999999998
-20.3,25.2,526956.6,8.393924833376,1.20306e-11,18.6,78.5
-20.3,25.2,526957.4,8.16144031109346,1.49032e-11,18.6,78.29999999999995
-20.3,25.4,526959.4,8.38770968164949,1.20996e-11,18.5,77.89999999999998
-20.3,25.5,526960.3,8.24130931745212,1.38463e-11,18.5,77.69999999999999
-20.3,25.7,526962.2,8.34009899397638,1.2642e-11,18.5,77.19999999999999
-20.3,25.8,526963.1,8.2523745013829,1.37059e-11,18.5,77.0
-20.3,26.0,526965.4,8.33355807720518,1.27184e-11,18.4,76.5
-20.3,26.2,526967.5,8.32722515422655,1.27928e-11,18.4,76.0
-20.3,26.3,526969.0,8.32123366042122,1.28636e-11,18.3,75.59999999999997
-20.3,26.5,526970.6,8.34345830669309,1.2603e-11,18.3,75.29999999999995
-20.3,26.6,526971.9,8.32720126557097,1.27931e-11,18.2,74.89999999999998
-20.3,26.7,526973.2,8.31190900065409,1.29746e-11,18.2,74.59999999999997
-20.3,26.9,526974.5,8.27194434725457,1.3461e-11,18.2,74.19999999999999
-20.3,27.0,526975.9,8.23472057328487,1.39306e-11,18.1,73.89999999999998
-20.3,27.2,526977.2,8.2710047693971,1.34727e-11,18.1,73.5
-20.3,27.3,526978.4,8.26107050746903,1.35965e-11,18.1,73.19999999999999
-20.3,27.4,526979.6,8.2948523178025,1.318e-11,18.0,72.79999999999995
-20.3,27.5,526980.9,8.29498155840551,1.31784e-11,18.0,72.5
-20.3,27.7,526982.1,8.26896428058591,1.3498e-11,18.0,72.09999999999997
-20.3,27.8,526983.3,8.26717734564846,1.35203e-11,17.9,71.69999999999999
-20.2,29.4,526997.6,8.11051354305481,1.56189e-11,17.5,66.89999999999998
-20.2,29.5,526998.7,8.14056830124562,1.51925e-11,17.5,66.5
-20.2,29.6,526999.3,8.04038694998388,1.6661e-11,17.4,66.19999999999999
-20.2,29.7,527000.6,8.13529978668023,1.52664e-11,17.4,65.69999999999999
-20.2,29.8,527001.1,8.00823090252053,1.71619e-11,17.4,65.5
-20.2,29.9,527002.3,8.16015567130528,1.49209e-11,17.3,64.89999999999998
-20.2,30.0,527002.8,8.07032405775264,1.62079e-11,17.3,64.69999999999999
-20.2,30.2,527004.2,8.15614955190173,1.4976e-11,17.3,64.10000000000002
-20.2,30.3,527004.9,8.06377171337538,1.6306e-11,17.2,63.80000000000001
-20.2,30.4,527006.5,8.12723580685311,1.53802e-11,17.2,63.10000000000002
-20.2,30.5,527007.0,8.04669529435512,1.65645e-11,17.2,62.80000000000001
-20.2,30.7,527008.4,8.09670690090678,1.58188e-11,17.1,62.10000000000002
-20.2,30.8,527009.5,8.07702421683384,1.61082e-11,17.1,61.60000000000002
-20.2,30.9,527010.4,8.0619932254636,1.63328e-11,17.0,61.10000000000002
-20.2,31.0,527011.3,8.07602822952007,1.6123e-11,17.0,60.60000000000002
-20.2,31.1,527012.1,8.05440273215478,1.64473e-11,17.0,60.19999999999999
-20.2,31.2,527012.9,8.05534929981826,1.6433e-11,16.9,59.69999999999999
-20.2,31.3,527013.8,8.05988957872144,1.63644e-11,16.9,59.19999999999999
-20.2,31.4,527014.7,8.06114241781919,1.63456e-11,16.8,58.69999999999999
-20.2,31.6,527015.6,8.07536334984114,1.61329e-11,16.8,58.19999999999999
-20.2,31.7,527016.3,8.04113774860253,1.66495e-11,16.8,57.69999999999999
-20.2,31.7,527017.0,8.03918671313035,1.66795e-11,16.7,57.19999999999999
-20.2,31.8,527017.8,8.00843767038853,1.71586e-11,16.7,56.69999999999999
-20.2,32.0,527019.3,7.98848623342201,1.74768e-11,16.6,55.80000000000001
-20.2,33.0,527027.0,7.75712601972005,2.16275e-11,16.2,49.60000000000002
-20.2,33.0,527027.7,7.88802711360299,1.91711e-11,16.1,48.80000000000001
-20.2,33.1,527028.0,7.73251023800807,2.21235e-11,16.1,48.60000000000002
-20.2,33.2,527028.9,7.87171212487953,1.94613e-11,16.1,47.60000000000002
-20.2,33.2,527029.2,7.75707628014141,2.16285e-11,16.0,47.30000000000001
-20.2,33.3,527030.0,7.8667786398511,1.95499e-11,16.0,46.400000000000034
-20.1,33.3,527030.2,7.73905432508492,2.19905e-11,16.0,46.10000000000002
-20.1,33.4,527030.8,7.81351356772309,2.0533e-11,15.9,45.30000000000001
-20.1,33.5,527031.7,7.76776276148348,2.14167e-11,15.8,44.200000000000045
-20.1,33.5,527031.9,7.65129341706445,2.38418e-11,15.8,43.900000000000034
-20.1,33.5,527032.4,7.58271763397648,2.53963e-11,15.8,43.10000000000002
-20.1,33.6,527032.8,7.75050376922264,2.17598e-11,15.7,42.5
-20.1,33.6,527033.2,7.7209654648467,2.236e-11,15.7,41.900000000000034
-20.1,33.6,527033.5,7.69929731806594,2.28107e-11,15.7,41.400000000000034
-20.1,33.6,527033.8,7.65993447300569,2.36528e-11,15.6,40.89999999999998
-20.1,33.6,527034.1,7.61583432366295,2.46334e-11,15.6,40.39999999999998
-20.1,33.7,527034.3,7.58575477338839,2.53253e-11,15.6,39.89999999999998
-20.1,33.7,527034.6,7.6263748442995,2.43954e-11,15.5,39.30000000000001
-20.1,33.7,527034.8,7.63998593644417,2.40914e-11,15.5,38.80000000000001
-20.1,33.7,527035.3,7.59815356306964,2.50378e-11,15.4,37.599999999999966
-20.1,33.7,527035.5,7.61449477751,2.46638e-11,15.4,37.099999999999966
-20.1,33.7,527035.6,7.61640405928301,2.46204e-11,15.3,36.599999999999966
-20.1,33.7,527035.8,7.58187980358704,2.54159e-11,15.3,35.900000000000006
-20.1,33.4,527036.6,7.43383472119154,2.91289e-11,14.9,29.400000000000002
-20.1,33.4,527036.6,7.43376468303799,2.91307e-11,14.8,28.500000000000004
-20.1,33.4,527036.5,7.33567891768155,3.1885e-11,14.8,28.200000000000003
-20.1,33.3,527036.5,7.42479804730875,2.93723e-11,14.8,27.900000000000002
-20.1,33.2,527036.4,7.38934920946312,3.03471e-11,14.7,26.900000000000002
-20.1,33.1,527036.2,7.37724917952543,3.06872e-11,14.6,25.900000000000002
-20.1,33.0,527035.9,7.3592214087178,3.1201e-11,14.6,24.900000000000002
-20.1,33.0,527035.8,7.24742575446717,3.4585e-11,14.5,24.699999999999996
-20.1,32.9,527035.5,7.34444544171983,3.16285e-11,14.5,23.799999999999997
-20.1,32.9,527035.4,7.21115906555243,3.57597e-11,14.5,23.499999999999996
-20.1,32.8,527035.1,7.3098179739721,3.26535e-11,14.4,22.599999999999998
-20.1,32.7,527034.8,7.30101636441653,3.29193e-11,14.4,21.999999999999996
-20.1,32.6,527034.5,7.30237185933798,3.28783e-11,14.3,21.4
-20.1,32.5,527034.2,7.26503329269462,3.40286e-11,14.3,20.799999999999997
-20.1,32.4,527034.0,7.26875994201639,3.3912e-11,14.2,20.299999999999997
-20.1,32.3,527033.7,7.23374749647059,3.50234e-11,14.2,19.9
-20.1,32.3,527033.4,7.24422926481603,3.46869e-11,14.2,19.299999999999997
-20.1,32.2,527033.1,7.21657960091922,3.55816e-11,14.1,18.9
-20.0,32.1,527032.8,7.18723834448256,3.65563e-11,14.1,18.4
-20.0,32.0,527032.4,7.16831871631476,3.71989e-11,14.1,17.9
-20.0,31.9,527032.0,7.1521826647254,3.77559e-11,14.0,17.4
-20.0,31.8,527031.7,7.15415296249851,3.76874e-11,14.0,16.9
-20.0,31.7,527031.3,7.13912131087147,3.82128e-11,14.0,16.4
-20.0,30.5,527025.5,7.01640011697413,4.27856e-11,13.5,10.799999999999997
-20.0,30.4,527025.3,6.92760512314928,4.64318e-11,13.5,10.599999999999998
-20.0,30.3,527024.5,6.98218161198536,4.41555e-11,13.5,10.099999999999998
-20.0,30.2,527024.2,6.88525519566903,4.82787e-11,13.4,9.899999999999999
-20.0,30.1,527023.3,6.9513845651849,4.54259e-11,13.4,9.299999999999997
-20.0,30.0,527022.9,6.83985588531125,5.03402e-11,13.4,9.0
-20.0,29.8,527021.9,6.9006834245055,4.75975e-11,13.3,8.299999999999997
-20.0,29.7,527021.5,6.76822633150398,5.37734e-11,13.3,8.099999999999998
-20.0,28.3,527013.0,6.77400724911939,5.34878e-11,12.9,3.3999999999999986
-20.0,28.2,527012.2,6.78451691912977,5.29726e-11,12.8,3.0
